uid,agency,bureau,name,stage,impact_status,description,topic_area,classification,vendor,contracting,withheld,operational_date,has_pii,demographic_features,justification,hi_assessment_completed,hi_testing_conducted,hi_potential_impacts,hi_independent_review,hi_ongoing_monitoring,hi_training_established,hi_failsafe_presence,hi_appeal_process,hi_public_consultation
NASA-814,NASA,JPL: Jet Propulsion Laboratory,"Time Series Forecasting, Evaluation and Deployment (Time-FED)",Pilot,not-high-impact,"Time-FED is a machine learning system for Time series Forecasting, Evaluation and Deployment. TimeFED was created in response to the following data realities: 1) data contains significant gaps (sometimes on the order of months or years) due to sensor outages, 2) data are not sampled at uniform rates, 3) time series data can be in stream or track form. JPL has built an infrastructure for time series prediction and forecasting that respects these realities.",Science,Classical ML,,In-house Development,No,2021-09-01 00:00:00,No,[],,,,,,,,,,[]
NASA-815,NASA,JPL: Jet Propulsion Laboratory,AI Risk-aware task and motion planning for snake-like robots in icy enviroments,Pilot,not-high-impact,"Time-FED provides time-savings for persons wishing to prepare data for and use ML models. For example, Time-FED has been used on ML applications applied to GNSS data stored in ESDR archives.",Science,Classical ML,,In-house Development,No,2022-09-01 00:00:00,No,[],,,,,,,,,,[]
NASA-256,NASA,JSC: Johnson Space Center,Classification of features in Crew Earth Observations imagery,Pre-deployment,not-high-impact,"Feature classification in Crew Earth Observations imagery of the following classes: Earth limb, lightning, the Moon, aurora, cities (64 cities, day/night), ISS equipment. For deployment on the Gateway to Astronaut Photography",Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-258,NASA,JSC: Johnson Space Center,Cloud masks from Crew Earth Observations imagery,Pre-deployment,not-high-impact,Generation of cloud masks via segmentation in Crew Earth Observations (Crew Earth Observations) images. For deployment on the Gateway to Astronaut Photography to supplement search tags.,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-259,NASA,JSC: Johnson Space Center,Comment Analytics Dashboard,Pre-deployment,not-high-impact,"Developed using Python and R, the Comment Analysis Dashboard is designed to visualize sentiment scored data provided by SF to better understand how crew members feel on a day-to-day basis, allowing for improved decision making when determining how to meet crew member needs. The data visualization comes with a data handling notebook designed to give SF insights into the analytics portion of the application, i.e. using comparative analysis to select a sentiment scoring model.",Science,NLP,,,No,,,[],,,,,,,,,,[]
NASA-260,NASA,JSC: Johnson Space Center,Crew Earth Observations automated georeferencing/geolocation,Pre-deployment,not-high-impact,Automated georeferencing of Crew Earth Observation images. For deployment on the Gateway to Astronaut Photography.,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-277,NASA,JSC: Johnson Space Center,Machine Learning for RFID (Radio Frequency Identification) tag localization to support logistics,Pre-deployment,not-high-impact,"Currently have two production machine learning approaches to tackle RFID (Radio Frequency Identification) tag localization in the highly reflective environment imposed by the International Space Station. First use case, REALMRFC, is a random forest classifier model with feature engineering performed by an RFID localization expert. The second use case is P-RFIDNet, a neural network with a ResNet50 backbone. In continued work, we have leveraged transfer learning to show how P-RFIDNet can be generalized to new RFID environments with limited training data. We benchmark P-RFIDNet and REALMRFC using data from the RFID Enabled Autonomous Logistics Management (REALM) and using truth derived from the Inventory Management System (IMS).",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-279,NASA,JSC: Johnson Space Center,Noise suppression in Human Spaceflight audio systems,Pre-deployment,not-high-impact,"Until recently Machine learning (ML) and artificial intelligence (AI) have led to highly elective noise-suppression and cancellation techniques, many of which are now being used at various levels of technology stacks: in hardware, middleware, apps, and more recently, SDKs (Software Development Kits) that are now available to a broad range of developers. The industries developing these new techniques and technologies have been mostly focused on standard use cases like call centers, telephony, simple voice, and video calls that power daily business meetings, calls with friends, family, and so forth. Recently, calls are no longer just calls—increasingly, they are becoming online rooms, virtual pods, or meeting spaces where people interact in new ways or take part in activities together.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-487,NASA,JSC: Johnson Space Center,"AI Digital Assistants (HRP) [was ""Doc in a Box"" for Earth Independent Medical Operations (EIMO)]",Pilot,declassified,"Improved cost savings, time savings, and process improvement in flight-related procedures related to medical conditions during flight.",Health and Medical,Agentic AI,,In-house Development,Yes - Disclosure Risk,10/01/2024 00:00:00,No,[],"Digital assistant does not take any action, only gives information for a crew to act upon. Informational purposes only.",,,,,,,,,[]
NASA-488,NASA,JSC: Johnson Space Center,Data Fracking (HRP),Pilot,not-high-impact,"Improved cost savings, time savings, and process improvement in daily tasks related to scientific research.",Science,NLP,,In-house Development,Yes - Disclosure Risk,10/01/2024 00:00:00,No,[],,,,,,,,,,[]
NASA-528,NASA,JSC: Johnson Space Center,Deep Learning Inhale Breath Detection Model to Support CO2 Washout Suit TestingInspired CO2 Algorithm for Respiration User Signals (ICARUS): A Deep Learning Model to Enable Real-Time and Post-Test ppCO2 Inspired Calculations,Pre-deployment,not-high-impact,A Deep Learning Recurrent Neural Network (RNN) Long Short Term Memory (LSTM) model is being developed for determining the start and end of inhale breaths for CO2 washout suit testing.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-719,NASA,JSC: Johnson Space Center,TxP: Federated Data Discovery and Content Creation (FDDCC) KDP-Formulation (ITMX),Pre-deployment,not-high-impact,"NASA has amassed a significant trove of data that holds the potential to drive advancements across numerous domains. However, the organization faces significant challenges in harnessing this potential. Much of its valuable data remains trapped within isolated legacy systems, creating silos that hinder efficient access and use. This segmentation is further complicated by the dual locations of these systems – both in the cloud and on-premises – with each presenting its unique set of access challenges due to firewalls, security control boundaries and other barriers. Numerous distributed systems within NASA provide localized search functions for their specific datasets. These capabilities, which cater to both structured and unstructured data, highlight the latent potential and need for a comprehensive approach that can unify and streamline data and information access across the entire organization. By developing a unified search interface, implementing robust identity and access management, creating a comprehensive data catalog, and building a scalable infrastructure, the FDDCC project seeks to empower users to efficiently find, access, and manage data. Additionally, the project emphasizes user satisfaction through continuous feedback and iterative improvements, ensuring that the platform meets the evolving needs of the agency.",Science,Generative AI,,,Yes - Disclosure Risk,,,[],,,,,,,,,,[]
NASA-734,NASA,JSC: Johnson Space Center,Personal Health Information (PHI) AI Platform,Pre-deployment,not-high-impact,Ability to use PHI data,Health and Medical,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-790,NASA,JSC: Johnson Space Center,JSC NC PRA Cut Set Tool,Pre-deployment,not-high-impact,Probabilistic Risk Assessment (PRA) identifies minimal cut sets - smallest combination of simultaneous failures to cause a system or mission failure.,Science,Generative AI,,,Yes - Prohibited by Law,,,[],,,,,,,,,,[]
NASA-791,NASA,JSC: Johnson Space Center,JSC SMA NT Paper WAD Data Extraction,Pre-deployment,not-high-impact,This application aims to provide the Quality Flight Equipment Division with a strong paper Work Authorization Document (WAD) data extraction capability using AI models. The data inputs include scanned PDF versions of original paper Work Authorization Documents (WADs) stored in the QFED data center. This application will be leveraging Google's Gemini Pro models to accomplish this effort. Users will be able to query critical quality-based information from large numbers of WADs to better understand Task Performance Sheet and Discrepancy Report execution trends and areas for improvement.,Science,Generative AI,,,Yes - Prohibited by Law,,,[],,,,,,,,,,[]
NASA-293,NASA,LaRC: Langley Research Center,Adaptive Neural Network Molecular Dynamics,Pre-deployment,not-high-impact,"ML approach, based on artificial neural networks (ANNs) is used in atomistic simulations to efficiently reproduce the very complex energy landscape resulting from the atomic interactions in materials with the accuracy of the more expensive quantum mechanics-based calculations.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-294,NASA,LaRC: Langley Research Center,Aerosol and Cloud Identification in SAGE III/ISS Aerosol Extinction Profiles,Pre-deployment,not-high-impact,This work uses machine learning techniques to classify aerosols in SAGE (Stratospheric Aerosol and Gas Experiment) III / ISS (International Space Station) Aerosol Extinction Profile data.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-296,NASA,LaRC: Langley Research Center,AMP: An Automated Metadata Pipeline,Pre-deployment,not-high-impact,"In this work, we combine ontologies and machine learning to auto-generate robust, semantically consistent, variable-level metadata records for large NASA satellite collections, and AMPed metadata supports improved data discovery and the AMP (automated data pipeline) provides API (Application Program Interface) access to subsetted data on demand.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-297,NASA,LaRC: Langley Research Center,Application of High-Dimensional Fuzzy K-mean Cluster Analysis to CALIOP (Cloud-Aerosol Lidar with Orthogonal Polarization) / CALIPSO (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observatory) Version 4.1 Feature Classifications,Pre-deployment,not-high-impact,This project uses Fuzzy K-means clustering (unsupervised learning) to validate the cloud-aerosol discrimination algorithm used in the publibly-distributed CALIOP (Cloud-Aerosol Lidar with Orthogonal Polarization) / CALIPSO (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observatory) data products.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-300,NASA,LaRC: Langley Research Center,CERES FluxByCldTyp Data Product Narrowband-to-Broadband Algorithm Improvement Through Deep Neural Network (DNN),Pre-deployment,not-high-impact,Apply DNN (Deep Neural Networks) to the CERES (Clouds and the Earth's Radiant Energy System) Flux by Cloud Type data narrowband-to-broadband algorithms to improve shortwave and longwave fluxes both for clear sky and cloudy sky conditions.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-302,NASA,LaRC: Langley Research Center,Cloud Detection Neural Network,Pre-deployment,not-high-impact,"Detection of clouds below and above aircraft to reduce cloud contamination and improve NASA passive remote sensing of aerosols, oceans and lands from aircraft.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-303,NASA,LaRC: Langley Research Center,Combining Satellite and Ground-based Observations to Improve Cloud Ceiling Observations over CONUS for Aviation Weather,Pre-deployment,not-high-impact,A k-nearest neighbors method is applied to use satellite observations to extend sparse ceilometer observations at surface stations to high spatiotemporal resolutions over CONUS (Continental United States),Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-306,NASA,LaRC: Langley Research Center,Detection of multi-layered clouds from multispectral MODIS/VIIRS data using an artificial neural network trained with CALIPSO-CloudSat data.,Pre-deployment,not-high-impact,Detection of multi-layered clouds from multispectral MODIS (Moderate Resolution Imaging Spectroradiometer) / VIIRS (Visible Infrared Imaging Radiometer Suite) data using an artificial neural network trained with CALIPSO (Cloud-Aerosol Lidar and Infrared Pathfinder Satellite Observatory) - CloudSat data.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-307,NASA,LaRC: Langley Research Center,Developing Quantum Reservoir Computing Hardware and Software for Deep Learning,Pre-deployment,not-high-impact,"This study uses integrated photonic circuits, mode-locked lasers and quantum optics to perform fast computing that use that to train the recurrent neural network deep learning through the so-called “reservoir computing” technique.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-313,NASA,LaRC: Langley Research Center,Estimation of Multilayered Cloud Properties from Geostationary Satellite Imager Data,Pre-deployment,not-high-impact,A deep neural network is developed and applied to geostationary satellite imagery data to identify and retrieve characteristics of multi-layered clouds for potential use in weather and climate applications.,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-314,NASA,LaRC: Langley Research Center,Estimation of Multilayered Cloud Properties from Low-Earth-Orbit Satellite Imager Data,Pre-deployment,not-high-impact,An artificial neural network is developed and applied to satellite imagery data to identify and retrieve characteristics of multi-layered clouds for potential use in weather and climate applications.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-317,NASA,LaRC: Langley Research Center,Geostationary Satellite Sounder Pathfinder Project for 4-D Atmospheric Thermodynamics and Winds,Pre-deployment,not-high-impact,"A k-nearest neighbors technique, coupled with an advanced data assimilation system are applied to hyperspectral infrared and geostationary satellite imagery data to provide high spatiotemporal resolution analyses of atmospheric thermodynamics, winds and clouds for severe weather forecasting, cloud process studies and other meteorological applications.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-319,NASA,LaRC: Langley Research Center,Identifying Aerosol Subtypes from CALIPSO Lidar Profiles Using Deep Machine Learning,Pre-deployment,not-high-impact,"Applies convolutional neural networks (supervised learning) to automatically identify the presence of different aerosol species (e.g., dust and smoke) in CALIPSO lidar backscatter measurements.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-320,NASA,LaRC: Langley Research Center,Identifying flaws in manufacturing of composites,Pre-deployment,not-high-impact,Inspection for manufacturing flaws makes up 40% of fabrication time so if that time could be reduced it would have a significant impact on overall manufacturing time. That doesn’t even take into account the benefits of finding flaws that were previously undetectable by the current technique of visual inspection.,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-321,NASA,LaRC: Langley Research Center,Improvements in Global Nighttime Satellite Cloud Analyses for Weather and Climate,Pre-deployment,not-high-impact,A k-nearest neighbors method is applied to overcome nighttime infrared satellite imagery sensitivity limits that dramatically improves nighttime cloud analyses and their consistency with daytime analyses.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-322,NASA,LaRC: Langley Research Center,Improving CERES Low-Latency Surface Radiation Fluxes with Machine/Deep Learning,Pre-deployment,not-high-impact,"In conjunction with sophisticated radiative transfer simulations, the CERES (Clouds and the Earth's Radiant Energy System) team is using machine and deep learning methods to improve near real-time surface radiative fluxes for clean energy, infrastructure energy use, and agricultural applications.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-325,NASA,LaRC: Langley Research Center,Intelligent Contingency Management,Pre-deployment,not-high-impact,"Adapt and train AI algorithms to contribute to an autonomous vehicle mission manager for Advanced Air Mobility (Cargo, Air Taxis). At a high level, the AI must recognize contingency flight conditions and react appropriately to return the aircraft to safe flight status. The project has three main objectives: 1. Explore machine learning for intelligent contingency management, with a focus on assessing/projecting vehicle capability and maintaining nominal performance via reinforcement learning. 2. Develop vehicle intelligent contingency management system architecture at a functional level and validate against a specific Unmanned Air Mobility (UAM)-class vehicle. 3. Incorporate (1) and (2) into an evolving toolset for an autonomous vehicle.",Science,Agentic AI,,,No,,,[],,,,,,,,,,[]
NASA-327,NASA,LaRC: Langley Research Center,Lessons Learned Bot (LLB),Pre-deployment,not-high-impact,"Today, NASA’s LL are online and searchable via keywords. Nevertheless, users often face a challenge to find lessons relevant to their issues. Applying the advancement in Natural Language Processing (NLP) ML algorithm, the LLB can find and rank LL records relevant to text in the user’s selected Excel cells, containing just a few words or entire paragraphs of text. Results are displayed to the user in their existing Excel workflow.",Science,NLP,,,No,,,[],,,,,,,,,,[]
NASA-329,NASA,LaRC: Langley Research Center,Machine Learning for Advancing Risk Precursor Identification Tools in Commercial Airline Terminal Area Operations (out of D318),Pre-deployment,not-high-impact,"This work uses a variety of machine learning techniques to recommend commercial terminal area aviation failure modes in addition to unstable vertical approach, evaluate these for machine learning feasibility, recommend the best failure mode and machine learning algorithm pairings, and incorporate these into the aviation risk precursor detection prototype back-end and user interface.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-331,NASA,LaRC: Langley Research Center,Mitigating Problematic GOES-17 Infrared Radiances at Night for Weather and Climate Applications,Pre-deployment,not-high-impact,A k-nearest neighbors method is applied to successfully reconstruct bad infrared radiance measurements at night caused by an instrument cooling problem on the GOES-17 (Geostationary Operational Environmental Satellite) Advanced Baseline Imager.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-334,NASA,LaRC: Langley Research Center,NASA OCIO STI Concept Tagging Service,Deployed,not-high-impact,An API (application program interface) for exposing topic models created with the STI (Scientific & Technical Information) concept training repository.,Science,NLP,,In-house Development,No,,No,[],,,,,,,,,,[]
NASA-335,NASA,LaRC: Langley Research Center,New Skin Temperature Analyses for Satllite Cloud Retrievals,Pre-deployment,not-high-impact,A deep neural network is applied to model analyses and satellite observations to improve skin temperature estimates needed for satellite remote sensing of cloud properties.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-336,NASA,LaRC: Langley Research Center,Nocturnal Opaque Ice Cloud Optical Depth Analyses from MODIS Multispectral Infrared Radiances,Pre-deployment,not-high-impact,An artificial neural network is developed and applied to improve estimates of opaque ice cloud optical depths at night using MODIS (Moderate Resolution Imaging Spectroradiometer) data.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-337,NASA,LaRC: Langley Research Center,PACE-MAPP,Pre-deployment,not-high-impact,"This framework can be used to train neural networks for a variety of satellite and airborne sensors, including passive polarimeter and hyperspectral sensors and active lidar instruments, to better understand the Earth's dynamic atmosphere, ocean and land systems.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-340,NASA,LaRC: Langley Research Center,Polar Nighttime Cloud Detection Using an Artificial Neural Network,Pre-deployment,not-high-impact,An artificial neural network is applied that addresses the difficult problem of accurately detecting clouds at night over snow- and ice-covered areas in polar regions from satellite imager data.,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-344,NASA,LaRC: Langley Research Center,Probabilistic calibration framework for finite element thermal process modeling of metallic additive manufacturing. Application to promote certification/qualification of load critical aerospace flight parts.,Pre-deployment,not-high-impact,"In short, this technique enables the robust and efficient calibration of a model simulating the manufacture of metallic parts by additive manufacturing. This is important because pure simulation of these processes is not possible without calibration due to large uncertainties in fundamental physical and material properties currently available due to the nature of the manufacturing process. The inherent variation in mechanical properties of parts produced using metallic additive manufacturing result in significant challenges to certification/qualification for flight. The goal is to alleviate these challenges with better probabilistic quantification of the fundamentals resulting in this inherent variation, thus promoting further adoption of this fledgling manufacturing technique by industry within the aeronautics industry.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-347,NASA,LaRC: Langley Research Center,Retrieving Aerosol Optical Depth and High Spatial Resolution Ocean Surface Wind Speed From CALIPSO: A Neural Network Approach,Pre-deployment,not-high-impact,This study uses ocean surface wind speed derived from microwave radiometer to train spacebased lidar measurements to measure both wind speed and aerosol optical depth using neural networks.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-349,NASA,LaRC: Langley Research Center,Severe Storm Prediction via Overshooting Cloud Top and Above Anvil Cirrus Plume Image Recognition from Satellite Imager Data,Pre-deployment,not-high-impact,A NASA open source software tool has been made publicly available to enable researchers and forecasters to apply the tool in near real time and for archived satellite imagery. This is the first tool of its kind that can be used for satellite-based severe storm detection https://github.com/nasa/svrstormsig,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-354,NASA,LaRC: Langley Research Center,Using Natural Language Processing to Help Automate the Standardization of PI Variable Names from ICARTT Files,Pre-deployment,not-high-impact,"Variables names of data collected from suborbital missions need mapping to the corresponding standard variable names for consistency in labelling the available science data, enhancing data discovery for further research; ASDC (Atmospheric Science Data Center) is developing an AI/ML based workflow for the assignment of these standard variable names based on Natural Language Processing (NLP).",Science,NLP,,,No,,,[],,,,,,,,,,[]
NASA-398,NASA,LaRC: Langley Research Center,Autonomous WAiting Room Evaluation (AWARE),Deployed,declassified,Spreads load on LaRC Badge & Pass Office (via website telling employees how busy) and adds BPO support by texting staff when waiting room conut threshold exceeded.,Administrative functions,Computer Vision,,In-house Development,No,01/01/2023 00:00:00,No,[],This AI processes images of people waiting in the Langley Badge & Pass office. The people are counted and their images immediately deleted to avoid privacy issues.,,,,,,,,,[]
NASA-508,NASA,LaRC: Langley Research Center,Atomistic Force Field Accelerator (ARFFA),Pre-deployment,not-high-impact,Training of machine learning models of physically informed neural network interatomic force fields for molecular dynamics simulations of material systems of interest at the atomic level,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-512,NASA,LaRC: Langley Research Center,Advanced Air Mobility Digital Assistant,Pre-deployment,not-high-impact,"A digital assistant using open source large language models designed to assist Systems Engineerins with navigating the complex web of requirements surrounding Urban Air Mobility. The system also utilizes a RAG approach to recommend relevant FAA requirements, regulations, and conops to the user.",Science,Generative AI,,,No,,,[],,,,,,,,,,[]
NASA-529,NASA,LaRC: Langley Research Center,SVM Classification of Write-in Topics from MSD Customer Sat Survey,Pre-deployment,not-high-impact,AIML lets us surface insights from MSD Customer Sat Survey write-in comments that otherwise would be ignored.,IT,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-540,NASA,LaRC: Langley Research Center,General AI LLM Chatbot for NASA CUI Data: Accelerated Langley Transformation Initiative Research Assistant (ALTIRA),Pre-deployment,not-high-impact,Accelerated Langley Transformation Initiative Research Assistant (ALTIRA) is an artificial intelligence (AI) chatbot planned for general-purpose use for processing NASA CUI (not ITAR) data.,Science,Generative AI,,,No,,,[],,,,,,,,,,[]
NASA-543,NASA,LaRC: Langley Research Center,Aerial AId: Visual data processing with AI in emergency scenarios for quick decision making,Pre-deployment,not-high-impact,This work will specifically enable stakeholders in the commercial sUAS sector that are well positioned to develop sUAS concepts for emergency medical response applications.,Emergency Mgmt,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-717,NASA,LaRC: Langley Research Center,Artificial Intelligence Leveraged Information Capture and Exploration (ALICE) (ITMX),Pre-deployment,not-high-impact,The project will streamline the archiving of information and build an explorable knowledge graph of organizational communications. This project seeks to provide several significant benefits to the agency.,Science,NLP,,,Yes - Disclosure Risk,,,[],,,,,,,,,,[]
NASA-721,NASA,LaRC: Langley Research Center,Fast Machine Learning Lidar Surrogate Simulator: For Pristine Clear Sky,Pre-deployment,not-high-impact,ML base lidar radiative transfer simulation for clear sky,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-722,NASA,LaRC: Langley Research Center,A Neural Network Parametrization of Volumetric Cloud Fraction Profiles Using Satellite Observations and MERRA-2 Reanalysis Meteorological Data,Pre-deployment,not-high-impact,Cloud Parameterization to improve climate model,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-359,NASA,MSFC: Marshall Space Flight Center,Airplane detection,Pre-deployment,not-high-impact,airplane detection from high-resolution satellite imagery,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-360,NASA,MSFC: Marshall Space Flight Center,Automated Dust detection in satellite imagery,Pre-deployment,not-high-impact,Application of machine learning to the problem of night-time dust detection with a simple random forest (RF) model using Geostationary Operational Environmental Satellite-16 (GOES-16) Advanced Baseline Imager (ABI) infrared imagery to identify dust in satellite imagery and output the probability dust is present,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-362,NASA,MSFC: Marshall Space Flight Center,Deep Learning-based Hurricane Intensity Estimator,Pre-deployment,not-high-impact,A web-based situational awareness tool that uses deep learning on satellite images to objectively estimate windspeed of a hurricane,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-365,NASA,MSFC: Marshall Space Flight Center,GCMD Keyword Recommender (GKR),Deployed,not-high-impact,Natural Language Processing-based science keyword suggestion tool,Science,NLP,,In-house Development,No,01/01/2023 00:00:00,No,[],,,,,,,,,,[]
NASA-370,NASA,MSFC: Marshall Space Flight Center,Marine debris detection using deep learning and high resolution satellite images,Pre-deployment,not-high-impact,Floating marine debris is a global pollution problem which threatens marine and human life and leads to the loss of biodiversity. Large swaths of marine debris are also navigational hazards to vessels. This project uses deep learning to detect floating marine debris in satellite imagery.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-372,NASA,MSFC: Marshall Space Flight Center,Near-Reality Slosh Model using AIML,Pre-deployment,not-high-impact,Time saving for slosh model generation,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-374,NASA,MSFC: Marshall Space Flight Center,Phenomena Detection Portal,Pre-deployment,not-high-impact,efficient search and discovery of Earth science events,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-375,NASA,MSFC: Marshall Space Flight Center,Pixel-Level Smoke Detection Model with Deep Learning,Pre-deployment,not-high-impact,"Automated, deep learning based detection model capable of identifying smoke plumes from shortwave reflectance for the Geostationary Operational Environmental Satellite R series of satellites.",Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-376,NASA,MSFC: Marshall Space Flight Center,Predicting streamflow with deep learning,Pre-deployment,not-high-impact,Uses a long short-term memory model to predict streamflow at USGS gauges sites,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-380,NASA,MSFC: Marshall Space Flight Center,Ship detection,Pre-deployment,not-high-impact,Deep learning-based ship detection from high-resolution satellite imagery,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-381,NASA,MSFC: Marshall Space Flight Center,Sinatra Software for Anomaly Detection,Pre-deployment,not-high-impact,Makes it easier for ML beginners to get started.,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-426,NASA,MSFC: Marshall Space Flight Center,ImageLabeler,Pre-deployment,not-high-impact,Web-based Collaborative Machine Learning Training Data Generation Tool,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-428,NASA,MSFC: Marshall Space Flight Center,Oceanic cold pool detection using scatterometer winds,Pre-deployment,not-high-impact,Use a U-Net convolutional neural network to detect oceanic cold pools in spaceborne scatterometer wind observations.,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-429,NASA,MSFC: Marshall Space Flight Center,Similarity Search for Earth Science Image Archive,Pre-deployment,not-high-impact,Self Supervised Based Learning approach to search image archives using a query image,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-443,NASA,MSFC: Marshall Space Flight Center,PASSION Computer,Pre-deployment,not-high-impact,To develop a pipeline for processing raw overlappagram (other word?) images through the various data products. To produce the final data product in a timely manner.,Science,Computer Vision,,,No,,,[],,,,,,,,,,[]
NASA-445,NASA,MSFC: Marshall Space Flight Center,Instantaneous Clarity of Ambient eNvironment Capability (ICAN-C),Pilot,not-high-impact,Improving safety in instances of obscurred vision,Science,Generative AI,,In-house Development,Yes - Disclosure Risk,08/01/2025 00:00:00,No,[],,,,,,,,,,[]
NASA-447,NASA,MSFC: Marshall Space Flight Center,Trajectory mission design,Pre-deployment,not-high-impact,"We use ML for a lot of different things. First, and most importantly, we use ML to estimate initial conditions for POST and Copernicus for mission design. We've also used ML for investigatory work trying to decipher what data is telling us and exploring datasets for root-cause analysis.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-475,NASA,MSFC: Marshall Space Flight Center,Friction Stir Weld Control,Pre-deployment,not-high-impact,"The SR-FSW has a lower defect rate reducing rework, cost, and number of test welds, providing more resilient structures.",Science,Agentic AI,,,No,,,[],,,,,,,,,,[]
NASA-493,NASA,MSFC: Marshall Space Flight Center,Reinforcement Learning for Lunar Lander Real Time Optimal Trajectory,Pre-deployment,not-high-impact,"The proposal's objective is to apply RL for real-time optimal guidance and control in spacecraft systems, aiming to enhance efficiency, robustness, and autonomy.",Science,Reinforcement Learning,,,No,,,[],,,,,,,,,,[]
NASA-499,NASA,MSFC: Marshall Space Flight Center,Coupled Loads Analysis Research Assistant (CLARA),Retired,not-high-impact,time savings for loads analysts,IT,Generative AI,,,No,,,[],,,,,,,,,,[]
NASA-506,NASA,MSFC: Marshall Space Flight Center,SERVIR Applied Deep Learning Book,Pre-deployment,not-high-impact,"Thereby providing a wide variety of thematic applications to complement reader’s domain specific practical knowledge such as agronomy or forestry etc. We suspect readers are coming to this virtual book with preexisting geospatial expertise. However, limited Deep Learning knowledge and application specifically around environmental and Remote Sensing oriented challenges.",Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-515,NASA,MSFC: Marshall Space Flight Center,Large language models for food security outlooks,Pre-deployment,not-high-impact,USAID Famine Early Warning Network (FEWSNET) produces food security outlooks and bulletins that can complement the perspective of Earth observations. We are exploring how large language models can facilitate the interpretation of these bulletins and outlooks for an integrated approach of food security informed from the perspectives of ground-level reports and from satellites.,Science,NLP,,,No,,,[],,,,,,,,,,[]
NASA-519,NASA,MSFC: Marshall Space Flight Center,Foundation model for Weather and Climate,Pre-deployment,not-high-impact,Custom network design that uses MERRA data to learn the atmospheric processes. The Foundation Model can then be adapted to for many different applications including downscaling and parameterization,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
NASA-520,NASA,MSFC: Marshall Space Flight Center,Foundation Model for Helio Physics,Pre-deployment,not-high-impact,AI Foundation for Heliophysics to enable the research community build AI application on the SDO data sets,Science,Classical ML,,,No,,,[],,,,,,,,,,[]
