Use Case Name,Bureau/Component,Email Address,Should this AI use case be withheld from public reporting?,Stage of Development,Is the AI use case high-impact?,Justification,Use Case Topic Area,AI Classification,What problem is the AI intended to solve?,What are the expected benefits and positive outcomes from the AI for an agency�s mission and/or the general public?,Describe the AI system�s outputs.,Date when AI use case became operational or the pilot�s start date,Was the system involved in this use case purchased from a vendor or developed under contract(s) or in-house?,Vendor(s) Name,Does this AI use case have an associated Authorization to Operate (ATO)?,System(s) Name,"Describe any data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","If the data is required to be publicly disclosed as an open government data asset, provide a link to the entry on the Federal Data Catalog.",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,"If publicly available, provide the link to the AI use case�s associated Privacy Impact Assessment (PIA).","Which, if any, demographic variables does the AI use case explicitly use as model features?",Does this project include custom-developed code?,"If the code is open source, provide the link for the publicly available source code.","Has pre-deployment testing been conducted for this AI use case?
Practice: Complete AI Impact Assessment","Has an AI impact assessment been completed for this AI use case?
Practice: Complete AI Impact Assessment","What are the potential impacts of using the AI for this particular use case and how were they identified?
Subpractice: Complete AI Impact Assessment","Has as independent review of the AI use case been conducted?
Sub practice Complete AI Impact Assessment","Is there a process to conduct
ongoing monitoring to
identify any adverse impacts
to the performance and
security of the AI functionality, as well as to privacy, civil rights, and civil liberties?
Practice: Conduct Ongoing Monitoring for Performance and Potential Adverse Impacts","Has the agency established sufficient and periodic training for operators of the AI to interpret and act on the its output and managed associated risks?
Practice: Ensure Adequate Human Training and Assessment","Does this AI use case have an appropriate fail-safe that minimizes the risk of significant harm?
Practice: Provide Additional Human Oversight, Intervention, and Accountability","Is there an established appeal process in the event that an impacted individual would like to appeal or contest the AI system�s outcome?
Practice: Offer Consistent Remedies or Appeals","What steps has the agency taken to consult and incorporate feedback from end users of this AI use case and the public?
Practice: Consult and Incorporate Feedback from End Users and the Public"
Scholar Match,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"The current candidate evaluations and placement process is complex and challenging for both analysts and participants. By enhancing this process with AI/ML support could optimize resource allocation and candidate satisfaction, significantly impacting workforce distribution and efficiency in critical health areas.",This would improve the process of matching NHSC and Nurse Corps Scholars going into clinical service in underserved communities.," The Scholar Match (SM) leverages AI to enhance the placement process of NHSC and Nurse Corps scholars in communities of need across the U.S. and territories. By analyzing candidate profiles and regional needs, SM recommends optimal placements, ensuring both the fulfillment of organizational needs and the satisfaction of the candidates. Current planning leverages Machine Learning, Recommendation Systems, Cloud-based platforms and Data analytics services for the implementation.",,,,,,,,,,,,, ,,,,,,,,
Scholarship Insight,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"The NHSC and Nurse Corps Scholarship reviewers need to receive and score thousands of essays submitted and the manual process delays the application processes. We are looking forward to building a Generative AI program that looks at all of the previous essays and how the scoring rubric was done and train it to do the first cut at scoring the essays. This could enhance the fairness and efficiency of scholarship evaluations, ensuring a thorough review process that supports equitable student opportunities.",Reduce the amount of time required for internal or external reviews to evaluated NHSC and Nurse Corps scholarship applications and ensure that human reviewers are following the appropriate scoring rubric.,"The Scholarship Insight (SI) is designed to support the evaluation of scholarship essays for both the NHSC and Nurse Corps Scholarship Programs by providing detailed analysis to human graders. Aligning with directives to ensure human oversight, SI identifies key themes, strengths, and weaknesses in essays, facilitating a more informed grading process without replacing human judgment. Current planning leverages Cloud-based services, Natural Language Understanding (NLU), Text Analysis, LLM API and Data analysis tools for the implementation.",,,,,,,,,,,,, ,,,,,,,,
Site Application Analysis,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,"The current application review process requires internal analysis to review many complex documents to determine Site Eligibility to employ a member of the NHSC or Nurse Corps. By enhancing this process with AI/ML support could revolutionize and streamline the NHSC, Substance Use Disorder Treatment and Recovery (STAR)and Nurse Corps Site Application Process.","This would improve the current highly manual process for reviewing Site applications for internal analysts but ensure that clinical sites are being approved for NHSC, Nurse Corps, and STAR LRP.","The Site Application Analysis (SA) is designed to support the evaluation of NHSC, STAR and Nurse Corps Site Applications. SA will allow for faster more accurate review of Site Applications and allow BHW Regional Analysts to focus on a higher value task. Current planning leverages Cloud-based services, Machine Learning, Recommendation Systems, Natural Language Understanding (NLU) and Text Analysis for the implementation.",,,,,,,,,,,,, ,,,,,,,,
RefineAI - Enhanced Summary Statements,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Other,Generative AI,"DIR would benefit from an automated system that would correct or solve grammatical issues, redundant comments, and acronym expansion at the merging stage within ARM to increase efficiency in panels and devote more time to discussion with hopes of more useful feedback without the pressure of time constraints due to editing. At least ten percent of overall ORC panel time is devoted to editing in real time for grammatical and duplicative issues. On average, discussion of an application takes 60 minutes; if we save 6 minutes of editing time per application, we can lower hourly rates for contractor support and lower hourly rates for editing post panel. In addition, we can shift focus in panel to content-specific discussion promoting higher quality feedback.","The expected benefits of the automated solution are:
- Increasing efficiency during ORC panel discussions, ultimately leading to lower contractor support and ORC costs, by providing a merged summary statement that highlights duplicate comments, expands acronyms, and proposes grammatical fixes at the merging state to devote more time to content-specific feedback in panel discussions
- Increasing quality of feedback to applicants","The DIR staff works directly with business owners to set up Objective Review Committees (ORC). Currently, the logistics contractor pulls raw comments from the Application Review Module (ARM) submitted in ARM by the three primary reviewers. The raw comments are sent to reviewers and HRSA staff in the merged summary statement in advance of the ORC for awareness and to facilitate discussion in the ORC panel. However, the Summary Statement Operator (SSO) must correct grammar issues, spell out acronyms, and change to present tense in real time as well as remove duplicates. DIR would like an automated system that would correct or solve these issues at the merging stage to increase efficiency in panels and devote more time to discussion with hopes of more useful feedback without the pressure of time constraints due to editing. ",,,,,,,,,,,,, ,,,,,,,,
FOIA Exemption-Aligned Redaction ,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Agentic AI,"The FOIA staff will leverage this solution to review records in response to FOIA requests, search the internet for publicly available information (names, email addresses, contact information of federal and non-federal individuals), and identify personally identifiable information (PII). The goal is to reduce the burden on the HRSA FOIA staff and process the requests quickly. Automating the manual process will save analysts time and effort and will help reduce/prevent human error. The FOIA staff reviews between 35-50 pages per hour, totaling 600 hours per month. ","The expected benefits of the automated solution are:
- Reducing the manual effort and the time that the FOIA staff spends on converting non-PDF electronic records to PDF
- Identifying information to withhold/redact under one or more FOIA exemptions
- Proposing the redaction markings for human QA
- Reducing the size of the PDF","HRSA uses agentic AI to propose redactions and comments for potentially sensitive data elements for Freedom of Information Act (FOIA) staff that reviews grant documents. The proposed redactions by the system will include the exemption invoked for data elements that are deemed to be not publicly available. The comments will include a URL citing the source for data elements that are deemed to be publicly available. The output of the solution will be a PDF file including proposed redactions (and exemptions invoked) along with citation comments for review. FOIA staff will review the proposed redactions and add any additional data elements to be considered for redaction. The data elements added by FOIA staff will then be queried by a search engine to determine public availability and proposed as redactions (not available) or comments (available). FOIA staff will then review the accuracy of the proposed redactions and comments.
This technology will help to alleviate the FOIA staffs workload and process the requests in a more expedited manner.",,,,,,,,,,,,, ,,,,,,,,
HRSA Data Warehouse ChatBot,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Health & Medical,Generative AI,HRSA Data Warehouse Chatbot to respond to public Inquiries.,"Increase transparency by making health data more accessible, actionable, and equitable � enabling faster insights, smarter decisions, and broader community engagement","Help public to gain quick access to program data (e.g.; Area Health Resources Files, Find Healthcare services, Service Delivery Sites etc.)",,,,,,,,,,,,, ,,,,,,,,
Code Conversion for PowerBI Migration,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Information Technology,Generative AI,Generate code to support migration and conversion from Tableau to PowerBI to save license cost as well as migration labor costs,Save cost for development of the solution including eliminating contract labour costs,Code that is leveraged to migrate Tableau Reports/Dashboards into PowerBI,,,,,,,,,,,,, ,,,,,,,,
HRSA Fact Sheets ,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Generative AI,Generate HRSA�s Program Fact Sheets for public use and reduce the cycle time by eliminating manual review and validation process.,"Public can immediately find clear, authoritative facts about HRSA programs, funding, workforce, outcomes. Also Strengthens grant proposals, community outreach, and health planning based on accurate, timely information",Provides HRSA Facts Sheets that are validated and can also embed additional comments so that public can get to understand this data and information better,,,,,,,,,,,,, ,,,,,,,,
Program Reporting System Knowledge base Chatbot,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Generative AI,"Help users get relevant information quickly instead of in lengthy manuals, FAQs, or scattered documentation and reduce support cost.","Provides instant, accurate answers to user queries, reducing the time spent searching for information. Additionally, it reduces call center support costs and minimizes the number of calls from grantees seeking system help, improving operational efficiency.",AI chatbot integrated with post award performance reporting system which serves as a knowledge base for FAQs and system step by step guides. Both grantees and internal HRSA users will use the chatbot to get relevant information faster. The AI chatbot will eventually reduce customer support cost.,,,,,,,,,,,,, ,,,,,,,,
Program Reporting System Natural Language Search,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),Simplified Information availability for faster decision making and eliminate the maintenance cost for the legacy SOLRs search server.," Improved efficiency and saves time by presenting information in a simple, natural language format, helping grant program officers make faster, informed decisions and enhancing overall grant performance monitoring.",A simple natural language based global search functionality for post award monitoring,,,,,,,,,,,,, ,,,,,,,,
"AI identification of ""High-Risk"" Health Centers",HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Generative AI,"Manual identification of high-risk health centers is resource-intensive and may miss key indicators across large datasets. Would support a proactive, data-driven approach to inform site visit schedules and technical assistance planning.","AI-driven risk identification would allow BPHC to better allocate resources, prioritize site visits, and provide tailored technical assistance. This will help improve compliance, operational performance, and ultimately the quality of care delivered by health centers","The system would use predictive analytics and risk modeling to generate a prioritized list of health centers considered ""high-risk"" based on predefined indicators (e.g., patient safety concerns, poor quality metrics, application anomalies). Outputs will support more targeted oversight and TA deployment schedules.",,,,,,,,,,,,, ,,,,,,,,
Targeted Technical Assistance,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Health & Medical,Generative AI,AI will help identify the health centers/ geographic areas that will benefit the most from targeted technical assistance on clinical topics for improving quality metrics,This will lead to better quality of care and improve health outcomes for patients. At the same time this will reduce costs and staff burnout and increase patient satisfaction with their care,"Outputs will be:
1. List of health centers requiring TA on specific clinical topics (in alignment with MAHA)
2. More focused ROI by implementing the specific TA identified through the process",,,,,,,,,,,,, ,,,,,,,,
Program Compliance and Reporting Knowledge Base Chatbot,HHS/HRSA,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Generative AI,"Users often need to navigate multiple technical assistance webpages, manuals, documents, FAQs, or submit inquiries through the contact form to find answers. This can be time-consuming and increases time and support capacity.","Provides instant, accurate answers to user inquiries, reducing the time spent searching for information. It would also reduce call center and staff support costs and increase capacity to assist with more complex issues by minimizing calls and inquiries from grantees seeking publicly available information, improving operational efficiency.",AI chatbot integrated with programmatic requirements and post award� performance reporting system which servers as a knowledge base for FAQs and system step by step guides. Both grantees and internal HRSA users will use the chatbot to get relevant information faster. The AI chatbot will eventually reduce customer support cost.,,,,,,,,,,,,, ,,,,,,,,
NICHD RPAB AI/ML NICHD Relevance Model,HHS/NIH,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,b) Presumed high-impact but determined not high-impact,"The primary objective is to improve the efficiency, accuracy, and consistency of grant application referral assignments while streamlining the internal process for referring new applications. The AI-generated output supports subject matter experts by providing additional information that helps them make faster decisions and prioritize applications for review. All AI output is used solely as an assistive tool, and every referral decision undergoes 100% human review. Therefore, this use case does not meet the definition of a high-impact AI. ",Administrative Functions,Classical/Predictive Machine Learning,"The primary objective is to enhance the efficiency, accuracy, and consistency of grant application referral assignments, while reducing the burden on Subject Matter Experts in RPAB. The AI system is expected to streamline the process of internal referral of new grant applications.","This AI use case increases the efficiency of the grant referral process and ensures difficult applications are triaged in a quicker manner.
",Results are presented as class predictions and class probabilities as recommendations for referral liaisons.,Apr-25,b) Developed in-house,,No,,"NIH IMPAC II funded and unfunded grant application data is used. Unstructured text from project abstract, specific aims, and title are encoded and vectorized for model training and inference. Fiscal year, activity code, and RCDC terms are transformed via one-hot encoding for use in model training and inference. PII related to individuals associated with the grant is kept intact to preserve the integrity of the use case of grant application referral and the trends of researchers' focus on particular scientific areas.",,No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Applying for Grants Chat Bot,HHS/NIH,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Generative AI,"Save time for applicants by guiding users through the application process step-by-step, recommending additional resources for grant writing, and helping determine eligibility.","It can guide users through the application process step-by-step, recommend additional resources for grant writing, and help determine eligibility to save time.",Input: Grants and Funding information/processes and FAQs for prospective grantees. Output: Targeted resources related to probing questions for end users.�,,,,,,,,,,,,, ,,,,,,,,
Assisted Referral Tool (ART),HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),This tool suggests which study sections an application might best fit for peer review. The applicant can then get a better idea of the topics being reviewed in that study section and the expertise the reviewers are likely to have. This tool is also used internally to help efficiently assign applications into study sections.,This tool provides information to applicants about the context of the eventual review of their applications and increases efficiency of internal study section assignments.,SRG recommendations,Jan-15,b) Developed in-house,,Yes,Assisted Referral Tool (ART),Previous grant applications submitted to NIH and assigned to the same study sections.,N/A,No,,k) None of the above,Yes,N/A, ,,,,,,,,
Autism Spectrum Disorder (ASD) Classification Model for Children using Deep Neural Network,HHS/NIH,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,, ,,,,,,,,
Automated approaches for table extraction,HHS/NIH,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,, ,,,,,,,,
Automated Basic-Applied Categorization of extramural grants,HHS/NIH,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,This machine-learning algorithm uses information about NIMH-funded research projects to categorize them as basic or applied research per the federal definitions for each.��,"The algorithm is intended to be consistent in identifying basic and applied research, reduce burden of review by NIMH staff, and provide a complementary perspective to human review.",Categorization of research as basic or applied.,,,,,,,,,,,,, ,,,,,,,,
Biomedical Citation Selector (BmCS),HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,Time-consuming human review of individual journal articles from multidisciplinary journals to determine inclusion in MEDLINE.,"More efficient and effective indexing and inclusion of relevant journal articles, standardization of citation record selection, and reduced processing time �",Sets of citation records that are classified as relevant to biomedicine and the life sciences.�,Jan-23,b) Developed in-house,,No,,PubMed citation data that was submitted by publishers and stored in the agency database was used.,,No,,k) None of the above,Yes,https://github.com/ncbi/biomedical-citation-selector, ,,,,,,,,
Clinical Trial Predictor,HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Generative AI,"Applications that propose clinical trials that are submitted to NOFOs that do not allow clinical trials cannot be funded, no matter how well they do in review, because they were not reviewed using all appropriate clinical trial criteria. This application allows NIH to identify clinical trial applications submitted to NOFOs that do not allow clinical trials so they can be withdrawn before being reviewed and potentially transferred to a NOFO that does allow clinical trials.
","The AI tool predicts whether grant applications may involve clinical trials based on the�text of their titles, abstracts, narratives, specific aims, and research strategies. It is very difficult to deal with misclassified CTs that make to review on a CT not allowed FOA: no matter how good the score is, the IC cannot fund them. �The CT prediction algorithm is used to help identify potential CTs on CT not allowed NOFOs, mainly the parent R01.","Input: IMPAC II application data, including titles, abstracts, narratives, specific aims, and research strategies.�Output: Prediction of possible clinical trial submitted to a non-CT NOFO.�",May-23,b) Developed in-house,,No,,All data come from the internal NIH IMPAC II database.,,No,,k) None of the above,Yes,It is not publicly available., ,,,,,,,,
ClinicalTrials.gov Protocol Registration and Results System Review Assistant,HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,"The quality control review process at ClinicalTrials.gov is time- and resource-intensive.
","Some potential benefits include increased efficiency, consistent reviews, resource optimization, and increased scalability.��",Prediction of whether a quality issue is present in study registration or results records.��,Aug-23,c) Developed with both contracting and in-house resources,N/A,No,,ClinicalTrials.gov study record submissions�,,No,,k) None of the above,Yes,N/A, ,,,,,,,,
Collections Summarization Chatbot,HHS/NIH,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"Complex, time-consuming methods for discovery of content, and difficulty for users to understand the scope of content through summarization.",Improved discovery and understanding of content in NLM Digital Collections�,Summary of the resource presented in text format.,,,,,,,,,,,,, ,,,,,,,,
CSR Public Chatbot (CPC),HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Generative AI,"This tool answers questions from the public, potential reviewers, and applicants by directly pulling relevant information from official government web pages, instead of searching FAQ lists.
",Applicants and Reviewers can get their NIH grant applications and peer review questions answered quickly and efficiently�,"This tool recommends original source material that seems to answer the user's question, and allows the user to check the accuracy of the answer.�",Jan-22,b) Developed in-house,,Yes,CSR Public Chatbot (CPC),Applicant FAQs and publicly available content from public.csr.nih.gov website,,No,,k) None of the above,Yes,N/A, ,,,,,,,,
DAIT AIDS-Related Research Solution,HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,DAIT POs need to identify grant applications that involve AIDS-related research (ARR) so they can evaluate them for additional funding.,"DAIT ARR suggests prioritization of grant applications that are likely to include AIDS-Related Research to assist POs in prioritizing which grants to select, which improved the review time and quality of review for ARR applications.","This application extracts text from grant applications as input, and then uses classification models to predict the priority and category of each grant application as the output. The output is shared along with other grant application metadata in a custom module.",Jan-18,c) Developed with both contracting and in-house resources,Deloitte,Yes,DAIT AIDS-Related Research Solution,A dataset was curated to train the model and is evaluated manually by user input.,N/A,No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Detecting Overlapping Science (DOS),HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),This tool detects applications that represent potential duplicate funding (funding the same research in different projects). It examines applications as they are submitted to the NIH and sends a report to relevant personnel in the agency.,Detect and prevent duplicate funding with real-time examination of incoming grant applications in a speedy manner.,"This tool recommends a more careful examination of flagged applications to determine if an application is a duplicate of existing funding, in violation of NIH policy",Jan-23,b) Developed in-house,,Yes,Detecting Overlapping Science (DOS),N/A,N/A,No,,k) None of the above,Yes,N/A, ,,,,,,,,
Detection of Implementation Science focus within incoming grant applications,HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"�This tool uses natural language processing and machine learning to calculate an Implementation Science score that is used to predict if a newly submitted grant application proposes to use science that can be categorized as ""Implementation Science.""�",The AI report tool assigns the grant application to a particular division for routine grants management oversight and administration.�,"For inputs, it leverages NHLBI application text (title/abstract) and classification categories in Dimensions for NIH. For outputs, the report provides NHLBI application metadata (unchanged) and a score for relevancy to implementation science.",Jan-20,a)�Purchased from a vendor,Digital Science,Yes,Dimensions for NIH,Leverages NIH application data from IRDB.,,No,,k) None of the above,No,N/A, ,,,,,,,,
Expansion of Generative AI (GenAI) Caption Generation for all Collections Videos,HHS/NIH,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Information Technology,Generative AI,High cost and low efficiency of video transcript and caption generation.��,Improved standardization and accuracy of generated video captions��,AI generated captions in text format�,Nov-20,b) Developed in-house,,No,,"Audio extracted from U-Matic videos in MP4 format, hosted on collections.nlm.nih.gov��",,No,,k) None of the above,Yes,N/A, ,,,,,,,,
Federal IT Acquisition Reform Act (FITARA) Tool,HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,Contracting officers use this tool to help identify whether a Statement of Work meets the criteria of Federal IT Acquisition Reform Act (FITARA).,"Contracting Officers can use this tool to indicate if Statements of Work are likely to be IT-related, which saves significant manual effort and time�required to identify relevant contracts.",User uploads a contract SOW and the FITARA Tool processes and predicts the likelihood on whether or not FITARA applies with a confidence score. The output data from the tool is displayed via a custom module.,Jan-17,c) Developed with both contracting and in-house resources,Deloitte,Yes,FITARA,A dataset was curated using NIAID SOWs which were manually labelled to train the classification model.,N/A,No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
Generative AI (GenAI) Still Image Tagging,HHS/NIH,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Other ,Lack of a cost-effective mechanism to label and describe digital images.,"Enhanced searchability and discoverability of images included in the NLM Digital Collections, increasing access to valuable medical and scientific resources and supporting research and health.",Classifications tags and/or image summary in text form�,,,,,,,,,,,,, ,,,,,,,,
individual Functional Activity Composite Tool (inFACT),HHS/NIH,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,, ,,,,,,,,
Internal Referral Module (IRM),HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,b) Presumed high-impact but determined not high-impact,"The output from this AI use case does not drive any agency decision, including the categories listed in section 6 of the memorandum. The output is a recommendation to assign a grant application to the appropriate Agency staff based on the scientific content of the application. The person to whom the grant application has been referred to can accept, reject, or reassign the application based on their expertise. ",Administrative Functions,Classical/Predictive Machine Learning,Automated Assignment of Grants to Program Officers,The original IRM application grew out of a desire to refer applications to the appropriate Program Officer to manage the scientific research that fit their portfolio. �This manual referral of grant applications still exists within IRM and has been complemented by use of AI/NLP capabilities.,"The outputs are referrals to Program Officers, Program Class Codes, Organizational units - Divisions and Branches and Scientific Research Clusters.",Feb-23,c) Developed with both contracting and in-house resources,Leidos and Highrise,Yes,eRA,"We use eRA grant application data for all fine tuning and optimization for the models. Specially, we extract the title, abstract, specific aims and public health narrative to train our models for prediction.�",N/A,No,N/A,k) None of the above,Yes,N/A, ,,,,,,,,
JIT Automated Calculator (JAC),HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),NIGMS requires extra justification to fund investigators whose total grant money exceeds $1.5M. �Applicants are required to submit lengthy forms detailing all of their support and those of their key personnel. �These forms are quite long and require quite a bit of time to read and tally up funding totals. �This NLP searches the entire form and adds up all of the totals to help NIGMS program staff determine total funding for all key personnel of a grant application.,"At NIGMS we like to know how much total support an investigator has to ensure that we are not funding PIs who are already adequately resourced. However, JIT Other Support forms consist of many pages of freeform text in PDF format. �Thus, it can be quite tedious for program officers (POs) to copy and paste information from these forms into a spreadsheet to determine how much funding a PI has. JAC can perform these calculations for POs automatically (assuming, of course, that the information has been entered correctly by the PIs).",Input: Grant application JIT Other Support Form PDFs from NIH IMPAC II database.�Output: Editable spreadsheet of parsed data and funding summary data for each person in the Key Personnel tables of the application.�,May-23,b) Developed in-house,,No,,All data come from the internal NIH IMPAC II database.,,No,,k) None of the above,Yes,It is not publicly available., ,,,,,,,,
LLM Support for Admin Services,HHS/NIH,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,, ,,,,,,,,
Mapping Sequence Data to Research Outcomes,HHS/NIH,hhs.caio@hhs.gov,a) No,a) Pre-deployment � The use case is in a development or acquisition status.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,"Effectively allocating resources needed to process, manage, and store a high volume of sequence data.
",More efficient operations and resource allocation��,Text summaries identifying in a yes/no fashion if research products were identified��,,,,,,,,,,,,, ,,,,,,,,
Medical Text Indexer-NeXt Generation (MTIX) MEDLINE Indexing,HHS/NIH,hhs.caio@hhs.gov,a) No,c) Deployed � The use case is being actively authorized or utilized to support the functions or mission of an agency.,c) Not high-impact,,Administrative Functions,Classical/Predictive Machine Learning,Time-consuming and burdensome manual indexing of MEDLINE citations��,"Cost-effective, timely, and efficient indexing of MEDLINE citation records.��",A set of MeSH terms describing the article topic��,May-23,b) Developed in-house,,No,,"The MTIX dataset is approximately 10 million PubMed MEDLINE citations published after 2006. It is publicly available data, used for training and evaluation of the MeSH terms predicted by the algorithm.��",,No,,k) None of the above,Yes,N/A, ,,,,,,,,
MicroStrategy Evaluation,HHS/NIH,hhs.caio@hhs.gov,a) No,"d) Retired � The use case was reported in the agency�s prior year�s inventory, but its development and/or use has since been discontinued.",c) Not high-impact,,,,,,,,,,,,,,,,,,, ,,,,,,,,
NanCI: Connecting Scientists,HHS/NIH,hhs.caio@hhs.gov,a) No,b) Pilot � The use case has been deployed in a limited test or pilot capacity.,c) Not high-impact,,Administrative Functions,Natural Language Processing (NLP),"NanCI phone/web application to connect scientists. The app uses AI to match scientific content to users' interests. By collecting papers into a folder, a user can engage the tool to find similar articles in the scientific literature and can refine the recommendations by up or down voting recommendations. Users can also connect with others via their interests and receive and make recommendations via this social network. Users: Cancer Research Trainees at NCI and across the USA.",Cancer research trainees indicate feeling overwhelmed by information and finding things of interest is a challenge. Furthermore they feel isolated. NanCI helps them home in on key content of interest and connect with others who share those interests.,User collects a series of papers by bookmarking them into a folder. AI then uses vector matching to find similar papers.,Mar-23,a)�Purchased from a vendor,Google; Barnacle,Yes,NanCI Connecting Scientists Mobile App,PubMed; Onco Daily,,No,,k) None of the above,Yes,N/A, ,,,,,,,,
